Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Liberia,2014-08-29,1378.0,694.0
Liberia,2014-09-05,1871.0,1089.0
Liberia,2014-09-08,2046.0,1224.0
Liberia,2014-09-12,2081.0,1137.0
Liberia,2014-09-16,2407.0,1296.0
Liberia,2014-09-18,2710.0,1459.0
Liberia,2014-09-22,3022.0,1578.0
Liberia,2014-09-24,3280.0,1677.0
Liberia,2014-09-26,3458.0,1830.0
Liberia,2014-10-01,3696.0,1998.0
Liberia,2014-10-03,3834.0,2069.0
Liberia,2014-10-08,3924.0,2210.0
Liberia,2014-10-10,4076.0,2316.0
Liberia,2014-10-15,4249.0,2458.0
Liberia,2014-10-17,4262.0,2484.0
Liberia,2014-10-22,4665.0,2705.0
Liberia,2014-10-25,4665.0,2705.0
Liberia,2014-10-29,6535.0,2413.0
Liberia,2014-10-31,6535.0,2413.0
Liberia,2014-11-05,6525.0,2697.0
Liberia,2014-11-07,6619.0,2766.0
Liberia,2014-11-12,6822.0,2836.0
Liberia,2014-11-14,6878.0,2812.0
Liberia,2014-11-19,7069.0,2964.0
Liberia,2014-11-21,7082.0,2963.0
Liberia,2014-11-26,7168.0,3016.0
Liberia,2014-12-01,7635.0,3145.0
Liberia,2014-12-03,7635.0,3145.0
Liberia,2014-12-10,7719.0,3177.0
Liberia,2014-12-15,7797.0,3290.0
Liberia,2014-12-17,7797.0,3290.0
Liberia,2014-12-22,7830.0,3376.0
Liberia,2014-12-23,7830.0,3376.0
Liberia,2014-12-24,7862.0,3384.0
Liberia,2014-12-26,7862.0,3384.0
Liberia,2014-12-29,7977.0,3413.0
Liberia,2014-12-30,7977.0,3413.0
Liberia,2014-12-31,8018.0,3423.0
Liberia,2015-01-02,8018.0,3423.0
Liberia,2015-01-05,8115.0,3471.0
Liberia,2015-01-06,8157.0,3496.0
Liberia,2015-01-07,8157.0,3496.0
Liberia,2015-01-08,8166.0,3496.0
Liberia,2015-01-09,8263.0,3515.0
Liberia,2015-01-12,8278.0,3515.0
Liberia,2015-01-13,8278.0,3515.0
Liberia,2015-01-14,8331.0,3538.0
Liberia,2015-01-15,8362.0,3556.0
Liberia,2015-01-16,8362.0,3556.0
Liberia,2015-01-19,8435.0,3587.0
Liberia,2015-01-20,8478.0,3605.0
Liberia,2015-01-21,8478.0,3605.0
Liberia,2015-01-22,8524.0,3636.0
Liberia,2015-01-23,8524.0,3636.0
Liberia,2015-01-26,8524.0,3636.0
Liberia,2015-01-27,8622.0,3686.0
Liberia,2015-01-28,8622.0,3686.0
Liberia,2015-01-29,8643.0,3700.0
Liberia,2015-01-30,8643.0,3700.0
Liberia,2015-02-02,8668.0,3710.0
Liberia,2015-02-03,8729.0,3739.0
Liberia,2015-02-04,8745.0,3746.0
Liberia,2015-02-05,8745.0,3746.0
Liberia,2015-02-06,8745.0,3746.0
Liberia,2015-02-10,8881.0,3826.0
Liberia,2015-02-11,8881.0,3826.0
Liberia,2015-02-12,8881.0,3826.0
Liberia,2015-02-13,8931.0,3858.0
Liberia,2015-02-16,9007.0,3900.0
Liberia,2015-02-17,9007.0,3900.0
Liberia,2015-02-18,9007.0,3900.0
Liberia,2015-02-19,9096.0,3947.0
Liberia,2015-02-20,9096.0,3947.0
Liberia,2015-02-23,9229.0,4032.0
Liberia,2015-02-25,9238.0,4037.0
Liberia,2015-02-26,9265.0,4057.0
Liberia,2015-02-27,9265.0,4057.0
Liberia,2015-03-02,9265.0,4057.0
Liberia,2015-03-04,9265.0,4057.0
Liberia,2015-03-05,9249.0,4117.0
Liberia,2015-03-06,9249.0,4117.0
Liberia,2015-03-10,9343.0,4162.0
Liberia,2015-03-11,9343.0,4162.0
Liberia,2015-03-12,9343.0,4162.0
Liberia,2015-03-13,9482.0,4241.0
Liberia,2015-03-16,9482.0,4241.0
Liberia,2015-03-17,9526.0,4264.0
Liberia,2015-03-18,9526.0,4264.0
Liberia,2015-03-20,9555.0,4283.0
Liberia,2015-03-23,9593.0,4296.0
Liberia,2015-03-24,9602.0,4301.0
Liberia,2015-03-25,9602.0,4301.0
Liberia,2015-03-26,9602.0,4301.0
Liberia,2015-03-27,9602.0,4301.0
Liberia,2015-04-07,9862.0,4408.0
Liberia,2015-04-09,9862.0,4408.0
Liberia,2015-04-13,9862.0,4408.0
Liberia,2015-04-14,9862.0,4408.0
Liberia,2015-04-15,10042.0,4486.0
Liberia,2015-04-16,10042.0,4486.0
Liberia,2015-04-17,10042.0,4486.0
Liberia,2015-04-20,10042.0,4486.0
Liberia,2015-04-21,10042.0,4486.0
Liberia,2015-04-22,10212.0,4573.0
Liberia,2015-04-23,10212.0,4573.0
Liberia,2015-04-24,10212.0,4573.0
Liberia,2015-04-27,10212.0,4573.0
Liberia,2015-04-28,10322.0,4608.0
Liberia,2015-04-30,10322.0,4608.0
Liberia,2015-05-01,10322.0,4608.0
Liberia,2015-05-04,10322.0,4608.0
Liberia,2015-05-05,10507.0,4691.0
Liberia,2015-05-06,10564.0,4716.0
Liberia,2015-05-07,10564.0,4716.0
Liberia,2015-05-08,10564.0,4716.0
Liberia,2015-05-11,10604.0,4769.0
Liberia,2015-05-12,10604.0,4769.0
Liberia,2015-05-13,10604.0,4769.0
Liberia,2015-05-14,10604.0,4769.0
Liberia,2015-05-15,10604.0,4769.0
Liberia,2015-05-18,10666.0,4806.0
Liberia,2015-05-19,10666.0,4806.0
Liberia,2015-05-20,10666.0,4806.0
Liberia,2015-05-21,10666.0,4806.0
Liberia,2015-05-22,10666.0,4806.0
Liberia,2015-05-25,10666.0,4806.0
Liberia,2015-05-26,10666.0,4806.0
Liberia,2015-05-27,10666.0,4806.0
Liberia,2015-05-28,10666.0,4806.0
Liberia,2015-05-29,10666.0,4806.0
Liberia,2015-06-01,10666.0,4806.0
Liberia,2015-06-02,10666.0,4806.0
Liberia,2015-06-03,10666.0,4806.0
Liberia,2015-06-04,10666.0,4806.0
Liberia,2015-06-05,10666.0,4806.0
Liberia,2015-06-08,10666.0,4806.0
Liberia,2015-06-09,10666.0,4806.0
Liberia,2015-06-10,10666.0,4806.0
Liberia,2015-06-11,10666.0,4806.0
Liberia,2015-06-12,10666.0,4806.0
Liberia,2015-06-15,10666.0,4806.0
Liberia,2015-06-16,10666.0,4806.0
Liberia,2015-06-17,10666.0,4806.0
Liberia,2015-06-18,10666.0,4806.0
Liberia,2015-06-19,10666.0,4806.0
Liberia,2015-06-22,10666.0,4806.0
Liberia,2015-06-23,10666.0,4806.0
Liberia,2015-06-24,10666.0,4806.0
Liberia,2015-06-25,10666.0,4806.0
Liberia,2015-06-26,10666.0,4806.0
Liberia,2015-06-29,10666.0,4806.0
Liberia,2015-06-30,10666.0,4806.0
Liberia,2015-07-01,10666.0,4806.0
Liberia,2015-07-02,10666.0,4806.0
Liberia,2015-07-03,10666.0,4806.0
Liberia,2015-07-03,40.0,5.0
Liberia,2015-07-06,4.0,1.0
Liberia,2015-07-06,10666.0,4806.0
Liberia,2015-07-07,4.0,1.0
Liberia,2015-07-07,10666.0,4806.0
Liberia,2015-07-08,4.0,1.0
Liberia,2015-07-08,10666.0,4806.0
Liberia,2015-07-09,10666.0,4806.0
Liberia,2015-07-09,6.0,1.0
Liberia,2015-07-10,6.0,1.0
Liberia,2015-07-10,10666.0,4806.0
Liberia,2015-07-13,10666.0,4806.0
Liberia,2015-07-13,6.0,1.0
Liberia,2015-07-14,7.0,2.0
Liberia,2015-07-14,10666.0,4806.0
Liberia,2015-07-15,10666.0,4806.0
Liberia,2015-07-15,7.0,2.0
Liberia,2015-07-16,10666.0,4806.0
Liberia,2015-07-16,6.0,2.0
Liberia,2015-07-17,10666.0,4806.0
Liberia,2015-07-17,7.0,2.0
Liberia,2015-07-20,10666.0,4806.0
Liberia,2015-07-20,7.0,2.0
Liberia,2015-07-21,7.0,2.0
