Country,Data points collected from the beginning of data set,Cumulative number of infected people,Cumulative number of dead people
Liberia,1,1437,723
Liberia,2,1519,763
Liberia,3,1625,816
Liberia,4,1756,880
Liberia,5,1912,957
Liberia,6,2093,1046
Liberia,7,2299,1148
Liberia,8,2529,1262
Liberia,9,2785,1388
Liberia,10,3064,1525
Liberia,11,3367,1675
Liberia,12,3658,1819
Liberia,13,3937,1956
Liberia,14,4206,2089
Liberia,15,4463,2216
Liberia,16,4710,2338
Liberia,17,4948,2455
Liberia,18,5176,2568
Liberia,19,5395,2676
Liberia,20,5605,2780
Liberia,21,5807,2880
Liberia,22,6001,2975
Liberia,23,6187,3067
Liberia,24,6366,3156
Liberia,25,6538,3240
Liberia,26,6703,3322
Liberia,27,6861,3400
Liberia,28,7013,3475
Liberia,29,7159,3547
Liberia,30,7300,3617
Liberia,31,7434,3683
Liberia,32,7564,3747
Liberia,33,7688,3808
Liberia,34,7807,3867
Liberia,35,7922,3924
Liberia,36,8032,3978
Liberia,37,8138,4031
Liberia,38,8240,4081
Liberia,39,8337,4129
Liberia,40,8431,4175
Liberia,41,8521,4220
Liberia,42,8608,4263
Liberia,43,8691,4304
Liberia,44,8771,4343
Liberia,45,8847,4381
Liberia,46,8921,4417
Liberia,47,8992,4452
Liberia,48,9060,4486
Liberia,49,9125,4518
Liberia,50,9188,4549
Liberia,51,9248,4579
Liberia,52,9306,4608
Liberia,53,9362,4635
Liberia,54,9415,4662
Liberia,55,9467,4687
Liberia,56,9516,4712
Liberia,57,9564,4735
Liberia,58,9609,4758
Liberia,59,9653,4779
Liberia,60,9695,4800
Liberia,61,9736,4820
Liberia,62,9775,4839
Liberia,63,9812,4858
Liberia,64,9848,4876
Liberia,65,9883,4893
Liberia,66,9916,4909
Liberia,67,9948,4925
Liberia,68,9979,4940
Liberia,69,10008,4955
Liberia,70,10036,4969
Liberia,71,10064,4982
Liberia,72,10090,4995
Liberia,73,10115,5008
Liberia,74,10140,5020
Liberia,75,10163,5031
Liberia,76,10185,5042
Liberia,77,10207,5053
Liberia,78,10228,5063
Liberia,79,10248,5073
Liberia,80,10267,5083
Liberia,81,10285,5092
Liberia,82,10303,5101
Liberia,83,10320,5109
Liberia,84,10337,5117
Liberia,85,10352,5125
Liberia,86,10368,5132
Liberia,87,10382,5140
Liberia,88,10396,5147
Liberia,89,10410,5153
Liberia,90,10423,5160
Liberia,91,10436,5166
Liberia,92,10448,5172
Liberia,93,10459,5178
Liberia,94,10471,5183
Liberia,95,10481,5189
Liberia,96,10492,5194
Liberia,97,10502,5199
Liberia,98,10511,5204
Liberia,99,10521,5208
Liberia,100,10530,5213
Liberia,101,10538,5217
Liberia,102,10547,5221
Liberia,103,10555,5225
Liberia,104,10562,5229
Liberia,105,10570,5232
Liberia,106,10577,5236
Liberia,107,10584,5239
Liberia,108,10590,5243
Liberia,109,10597,5246
Liberia,110,10603,5249
Liberia,111,10609,5252
Liberia,112,10614,5254
Liberia,113,10620,5257
Liberia,114,10625,5260
Liberia,115,10630,5262
Liberia,116,10635,5265
Liberia,117,10640,5267
Liberia,118,10645,5269
Liberia,119,10649,5272
Liberia,120,10653,5274
Liberia,121,10658,5276
